,company,error,joburl,location_area,location_big,salary,searchterm,seekID,templatetext,title,yrlow,yrhigh,salrange,avg_sal
0,Barton Mills Recruitment,nobullets,/job/38214612?type=standout&searchrequesttoken=e8be07be-d198-4fca-8c4b-3b7e86ae390e,"CBD, Inner West & Eastern Suburbs",Sydney,"Up to $90,000 + Super + Comms",data-science,38214612.0,"
Company Overview    The global Digital transformation is well underway across Australia and with that one of the greatest demands sits across Data & Analytics. This is an opportunity to
          join an entrepreneurial, software engineering and data recruitment agency inheriting everything across the Data space.   This agency is not your vanilla recruitment operation. They put a huge emphasis on content
          creation, strategic digital marketing and weekly mentoring workshops to get consultants to where they need to be. This small, close knit team are well ahead on industry standards, averaging $41k (per head, per month) and are
          able to draw on 15-20 PSA customer relationships.   If you are smart, curious and courageous then this could be a great fit.     About the role    We are looking
          for a senior agency recruiter with a genuine interest in the emerging Data Science and Analytics space. Partnering with the two founders you will build out the Data market within their existing clients (as work does get consistently called in)
          and go out and develop your own portfolio.   We are looking for a recruiter who will truly engage with their community; someone who will go out to meet ups, look to host their own events, as well as, be proactive and work to a pace.            Why work here

Weekly mentorship from the Founders on best practise recruitment and wider business-related discussions  
Strategic relationship driven partner development NOT cold calling
High performing team - every employee to date has made commission from Month 2
Plenty of office banter, everyone is friends outside of work.
Market leading commission structure (Monthly), lower than market threshold
The offices are a phenomenal - Co-Working space in the CBD with amazing views and balconies - Inhouse bar, Yoga, Events & Party’s every week, free catered breakfast on Mondays.
The Fun stuff - Holly Moley Golf, Long Lunches, Fishing Charters, Clay Pigeon Shooting, Whiskey tasting, Melbourne Cup at Randwick, Driving Range, Sunrise Kayaking under the harbour bridge.
Laptop and mobile phone to allow you to work anywhere. 
 Next Steps    To apply, please send your CV and covering letter to mark@bartonmills.com.au 
",Recruitment Consultant | Data Science,90000.0,90000.0,0.0,90000.0
1,Hays Information Technology,nobullets,/job/38177104?type=standout&searchrequesttoken=e8be07be-d198-4fca-8c4b-3b7e86ae390e,not_listed,Perth,not_listed,data-science,38177104.0,"
New opportunity to deliver high-level strategic insights for a leading Australian institution  Your new company Your new company is a leading Australian institution with an established local and international brand.  Your new role In your new role, you will be leading a team to help deliver high-level strategic insights critical in defining the future success and road-map for the business.  What you'll need to succeed            To be successful, you will have a solid quantitative background in data analytics and visualisation, with demonstrated experience in a commercial environment delivering complex business strategy and insights, as well experience with a variety
            of systems, suites and traits including:

SAS, PowerBI, Tableau, MS Excel, SQL
Story-telling from insights to influence stakeholders
Creative, hands-on approach to problem solving
Stakeholder management and communication

 
What you'll get in return On offer is a permanent contract at a high-profile organisation and easy access to public transport.  What you need to do now If you're interested in this role, click
            'apply now' to forward an up-to-date copy of your CV, or call Michael Ho on 08 9226 0899 now. Currently only applicants who have the rights to work in Australia will be considered.
","Manager, Data Science",,,,
2,Hudson,nobullets,/job/38118827?type=standout&searchrequesttoken=8b0077e7-b4f9-46fe-8da8-02cab7f74d50,not_listed,ACT,$40 - $50 p.h. + Super,data-science,38118827.0,"
Hudson are proud to be assisting a highly reputable Federal Government Department that develop and implement policies and programs to ensure Australia's agricultural, fisheries, food and fore​stry industries remain competitive, profitable and
          sustainable.
There are currently multiple vacancies for APS4 Technical Officers to commence on an initial 6 month contract with a possible further 6 month extension. These positions offers an opportunity for people who appreciate protecting Australia’s plant
          based industries from the threat of exotic pests and diseases.
Duties include but not limited to:

Undertake performance assessment and reviews of business processes and identify opportunities for improvement
Undertake technical analysis on import data to support business improvement activities and prepare assurance reports
Work collaboratively with operational teams to identify analytical requirements Ensure that branch and regional service delivery activities are consistent and complies with instructional material and legislative requirements
Contribute to the development and review of instructional material for plant import activities

Skills and attributes:

Qualifications or relevant experience in agriculture, horticulture or other plant-related activities is highly regarded
Strong written and reporting skills are highly desirable
Relevant experience with Excel (Advanced), SQL and R code.
A willingness to work in a time critical environment
Ability to liaise with internal and external stakeholders

To submit your application, in strict confidence, please apply online using the “APPLY NOW” button.
Alternatively, for a confidential discussion, please contact Courtney Wright in our Canberra office on 02 6229 1518 quoting reference number #1A/14414
",APS4/5 Technical Data Officers - Plant Science,80000.0,100000.0,20000.0,90000.0
3,LBT Innovations,notemplatetext,/job/38090489?type=standout&searchrequesttoken=efb04704-01bb-4028-86c8-27d71c13036c,not_listed,Adelaide,not_listed,data-science,38090489.0,,Microbiology Services Manager,,,,
4,News Corp Australia,nobullets,/job/38100171?type=standout&searchrequesttoken=efb04704-01bb-4028-86c8-27d71c13036c,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-science,38100171.0,"

The role will be focused on stitching together disparate data sources from across the business to enable machine learning and automated reporting and campaigns. Generically, provide a view on business issues/opportunities that cannot be revealed
          through standard reporting. This role will see you as a 2IC to the manager.
What’s the role?

Analytics lead on internal strategic marketing projects designed to understand key customer behaviours that drive consumer revenue
Identify new opportunities to improve capability and optimise the business through analytics and modelling
Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models
Provide data and analytical thought leadership that can be leveraged across the marketing teams
Consistent delivery of data programs that lead to more effective and improved customer experiences

Who are you?

The ability to interpret and convert complex data requests into prescriptive and actionable insights for a non-analytical audience.
Proactivity delivering data driven insights and recommendations
Senior stakeholder engagement and strong presentation skills
Must be advanced multi-lingual across various software languages (SQL, Python, R, SAS)

What’s in it for you?
Supportive and friendly environment. We encourage innovation, collaboration and creative thinking. Fun, fast-paced and excellent opportunities for growth and development.

Lucrative salary
Career development
Flexible working arrangements
Discounted health care
Employee discount with multiple brands including BMW, Qantas, Apple, Samsung etc
Work with some of Australia's most recognised and prestigious brands
On-site gym and wellbeing centre

Who are we?We are Australia’s number one and most influential media organisation with more than 150 prestige brands across news, sport and lifestyle. Each month more than 17 million Australians choose
          to consume news and information from our digital and print products – more than any other media group in Australia.
Where do I sign?
Apply now or for more information on careers at News Corp Australia visit www.newscorpaustralia.com/careers
",Senior Data Scientist,,,,
5,Australian Commission on Safety and Qual ity in Health Care,notemplatetext,/job/38128696?type=standard&searchrequesttoken=efb04704-01bb-4028-86c8-27d71c13036c,"CBD, Inner West & Eastern Suburbs",Sydney,not_listed,data-science,38128696.0,,Senior Health Data Analyst,,,,
6,Department of Health - Queensland,nobullets,/job/38214884?type=standard&searchrequesttoken=efb04704-01bb-4028-86c8-27d71c13036c,CBD & Inner Suburbs,Brisbane,"$123,131 - $130,201 per annum + super",data-science,38214884.0,"

Strong leadership background
Experience in the management of large data collections
Permanent full-time position based in Brisbane CBD
Salary (AO8): $123,131 - $130,201 per annum + super    

The roleThe Manager, Data Collections is responsible providing leadership, management and direction to Data Collection staff, and providing advice to the Director, Statistical Collections and Integration on strategies and
          policy for the conduct and delivery of cost effective information services and systems for Queensland Health.  The role will also assist with developing corporate level information management strategies and plans for the Department's information
          services and their delivery, and develop resourcing plans and negotiate corporate resourcing to support these plans.  Additionally, the role will establish a collaborative relationship working towards a coordinated approach to data collection
          and dissemination with other units and branches within the Department, and formulate and control work programs, prioritise tasks and manage senior data collection staff and other resources accordingly.  The successful personThe
          successful candidate will have experience in managerial and leadership roles pertaining to health-related information management, particularly with regard to data services, including data definitions, standards, collection, reporting and analysis. 
          You will demonstrate knowledge of survey and study design methodology, and have proven experience in project planning, management, and implementation of major data collections within a critical service delivery organisation.  Additionally,
          you demonstrate strong analytical, conceptual, and critical thinking capability, and exceptional written and verbal communication skills.  Further, you will have a strong track record in building and maintaining effective professional and
          consultative relationships with senior stakeholders, and demonstrate a supportive and collaborative leadership style.  About usThe Statistical Services Branch (SSB) is responsible for ensuring the availability
          of trusted, timely, validated information for the Department to enable policy development, decision-making, clinical improvement, planning, performance monitoring and evaluation of health services, for reporting required under legislation and
          national agreements and to maximise funding.  The Branch acts as a central reference point for health-related statistical information enquiries, and provides leadership, expert advice, strategies and support in relation to statistical issues,
          maintains and develops state-wide statistical standards and reference files and the corporate statistical metadata repository.
Statistical Collections and Integration (SCI) is one of four units in the SSB and is responsible for the centralised collection, processing and validation of data from several major corporate health-related data collections. The data are used
          for health services planning, research into diseases, monitoring standards of care, determining funding levels, and national reporting requirements.Benefits of working with the Department of Health:By joining the
          Department of Health you will work within a fast-paced, challenging and supportive environment where every employee plays a critical role in our ongoing success.  You will enjoy a variety of benefits, including:•    Competitive
          salary + generous superannuation and leave loading•    Flexible working arrangements•    Diverse work culture•    Career training and developmentTo reflect the diversity within
          the communities and people we support and serve, we seek to hire a workforce that is both representative and diverse. With a focus on inclusion, accessibility and flexibility, we are committed to supporting you in your career with us.To
          apply for this opportunity, please submit your resume and a 1-2 page cover letter outlining your skills and experience relevant for this role.  For further information, please contact Rod Leeuwendal on (07) 3708 5670.
Applications Close: Tuesday 12th February 2019Job Reference: QLD/SPP300057
",Manager Data Collections,123131.0,130201.0,7070.0,126666.0
7,Australian Financial Security Authority (AFSA),nobullets,/job/38136726?type=standout&searchrequesttoken=788aa177-fb57-4f5e-b204-c72b6ed43028,"CBD, Inner West & Eastern Suburbs",Sydney,"$96,644 - $113,766 p.a (plus 15.4% super)",data-science,38136726.0,"
**This opportunity will be based in either our Sydney, Canberra, Adelaide or Brisbane office** 
About AFSA:
The Australian Financial Security Authority (AFSA) is responsible for managing the application of bankruptcy and personal property securities laws through the delivery of personal insolvency and trustee, regulation and enforcement and personal
            property securities services. 
About the Role:
The Senior Statistician and Data Manager will lead the delivery of AFSA’s statistics and reporting to bring about financial outcomes and impact in the Australian economy. You will develop a forward looking statistics program to support AFSA’s
            ‘future state’ to further benefit the Australian community.
You will prepare briefings on a range of statistics and the broader economy, and provide expert advice on statistical governance. Your ability to engage with and build relationships with diverse stakeholders will see you achieve success in this
            dynamic opportunity. 
About You:
To be successful in this role you will have:

a tertiary qualification or demonstrated experience in economics, statistics or quantitative fields;
demonstrated experience in producing published statistics, including developing and implementing statistical governance;
demonstrated success applying your expertise in economic analysis and modelling to influence strategic goals;
high level consultancy and advisory skills, with the ability to interpret and illustrate findings to diverse audiences.  

Why AFSA?
You will enjoy excellent conditions including generous superannuation (15.4%), a modern work environment, flexibility to balance work and personal life, and professional growth. 
We encourage applications from Indigenous Australians, peoples from culturally diverse backgrounds and people with disabilities.                                 
                                               
We value employee commitment and contribution and we provide a working environment that supports staff to reach their full potential.
Applications close Sunday 3 February, 2019
",Senior Statistician and Data Manager,96644.0,113766.0,17122.0,105205.0
8,University of New South Wales,nobullets,/job/38069561?type=standout&searchrequesttoken=788aa177-fb57-4f5e-b204-c72b6ed43028,"CBD, Inner West & Eastern Suburbs",Sydney,"$75,069- $123,908 + 17% super + leave loading",data-science,38069561.0,"
The Organisation
At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.  We aspire to be Australia’s global university, improving and transforming lives through excellence in research, outstanding education and
          a commitment to advancing a just society.
The Mark Wainwright Analytical Centre (MWAC) is part of the Division of Research and sees the colocation of major research instrumentation in the University in purpose-built high-grade facilities for the study of the structure and composition
          of biological, chemical and physical materials and includes preparation laboratories, smaller instruments and computing facilities. In addition, MWAC provides the technical/professional support for these instruments. Analytical Centre staff
          members are expected to contribute to the overall success of the Centre by making a major contribution to Centre initiatives and participating fully in cooperative education and research projects.
The Opportunity
Stats Central is based in the Mark Wainwright Analytical Centre in the Division of Research and offers UNSW researchers support in study design and analysis, as part of the university’s 2025 Strategy.
Reporting to the Senior Statistical Consultant and the Director, you will provide statistical consulting services to all UNSW researchers, but especially those in the Medicine & Science faculties. Key responsibilities include statistical consultation
          and collaboration with UNSW researchers, the development and running of regular professional development workshops; offering statistical support during grant writing; outreach to consultants around campus and documenting Stats Central activities.
About the successful applicant: 
You have a PhD in Applied Statistics or related discipline and the ability to work in a statistical consulting role.  Key criteria include:
• Demonstrated experience communicating and collaborating with applied researchers lacking high-level statistical expertise
• Ability to effectively instruct applied researchers on statistical techniques in a short course setting, and develop materials for short courses
• Ability to review research grants and journal articles under supervision
• Proficiency in a range of statistical methodologies and statistical packages
Associate Lecturer (in addition to the core criteria above)
• Demonstrated track record of independent research published in high quality journals and conferences
Lecturer (in addition the core criteria above)
• Experience working in a statistical consulting role
• Demonstrated ability to effectively instruct applied researchers on statistical techniques in a short course setting, and develop materials for short courses
• Experience reviewing research grants and journal articles
• A strong inter-disciplinary publication record including publications in statistical methodology journals
 UNSW Position Description StatsConsultant_29Nov18 (2).pdf
To apply:  If providing statistical support to academics is of interest to you, please submit your CV, Cover Letter and Responses to Selection Criteria.
Contact
Shiree Thomas
Talent Acquisition Consultant
E: shiree.thomas@unsw.edu.au
T: 02 9385 2401
Applications close: 11:00pm, Sunday 3rd February 2019
UNSW aspires to be the exemplar Australian university and employer of choice for people from diverse backgrounds. UNSW aims to ensure equality in recruitment, development, retention and promotion of staff, and that no-one is disadvantaged on the
          basis of their gender, cultural background, disability, sexual orientation or identity. We encourage everyone who meets the selection criteria to apply.
",Statistical Consultant,75069.0,123908.0,48839.0,99488.5
9,CSIRO,nobullets,/job/38200815?type=standout&searchrequesttoken=788aa177-fb57-4f5e-b204-c72b6ed43028,not_listed,Sydney,$134K - $201K + up to 15.4% super,data-science,38200815.0,"

 

Apply your expertise in computer science/software engineering.
Lead strategic and industry research projects to tackle the major challenges in software architecture
Join CSIRO’s Data61, the largest data innovation group in Australia.

In this prestigious position as a Principal Research Scientist you will be part of Data61’s’ Architecture & Analytics Platform team, and tackle the major challenges in software architecture, blockchain and distributed ledger technologies,
          data analytics, computing infrastructure, business process management, and dependability. You will lead individual research efforts and contribute to the acquisition and execution of external projects.  Your role will be to provide scientific
          leadership; to play a lead role in securing project funds; and to develop and pursue research agendas to investigate the use of novel ICT and mathematical systems, methodologies, techniques for the creation of models of real-life phenomena,
          in particular in the field of extended enterprise computing comprising both inter- and intra-enterprise interactions. The modelling is target to the creation of effective and efficient software able to provide conceptually sounds model of the
          domain at hand and able to comply with internal and external constraints.  Your duties will include

Leading research projects, including the negotiation of resource requirements and pursue research to advance the state of the art in the broad fields of software architecture, software engineering and distributed systems.
Producing high quality scientific and/or engineering papers suitable for publication in high quality international conferences and journals.
Working effectively as the leader of a multi-disciplinary research team, to undertake independent scientific investigations and carry out associated tasks and contribute to management of the research group in coordination with other senior researchers.

 
Location: Sydney, NSW or Brisbane, QLD Tenure: Indefinite Salary: $134K - $201K + up to 15.4% Superannuation Reference: 60177  To be successful you will need

A doctorate or equivalent research experience in a relevant discipline area, such as Computer Science / Engineering.
An established research track record, including publications in peer reviewed, top-tier outlets.
Solid technical expertise in some of the following specific research areas.

- Distributed ledgers in general or Blockchain technology in particular, and applications building on those technologies
- Business process management, including process mining, modelling, and execution
- Data analytics platforms
- Software Architecture and Engineering
- Enhancing dependability and security of computer systems.

Demonstrated original contribution to science and/or engineering resulting in a significant influence on a field of research and/or its transfer to industry/community.
Demonstrated ability to lead a research team, and carry out independent individual research, to achieve organisational goals.

For more information please view the Position Description  We’re working hard to recruit diverse people and
          ensure all our people feel supported to do their best work and empowered to let their ideas flourish. Flexible Working Arrangements  We work flexibly at CSIRO, offering a range of options for how, when and where
          you work. Talk to us about how this role could be flexible for you. Balance  About CSIRO  At CSIRO, we solve the greatest
          challenges using innovative science and technology.  We imagine. We collaborate. We innovate.  Apply Online  To apply online, please provide a CV and cover letter outlining your suitability and motivation
          for the role.  Applications Close  28 February 2019 
",Research Scientist  - Blockchain and Software Architecture,134000.0,201000.0,67000.0,167500.0
